date,close,vol_usd,vol_btc,fed_rate,gold_usd,kospi,ex_rate
2014-05-31,649.789978,2322782,3574.665782241412,0.09,1250.5,1994.96,1021.6
2014-06-01,655.48999,2650871,4044.1059977132522,0.1,1250.5,1994.96,1021.6
2014-06-02,669.429993,2883100,4306.798365994337,0.1,1247.25,2002.0,1020.4
2014-06-03,638.929993,3601867,5637.342180616649,0.1,1242.75,2008.56,1023.6
2014-06-04,660.179993,1825395,2764.995939524026,0.1,1245.25,2008.56,1023.6
2014-06-05,650.409973,3978265,6116.549814958018,0.1,1252.5,1995.48,1024.3
2014-06-06,651.669983,1298892,1993.1745114612713,0.1,1247.5,1995.48,1024.3
2014-06-07,651.049988,2167689,3329.5277474146887,0.1,1247.5,1995.48,1024.3
2014-06-08,644.349976,2126014,3299.4709074063812,0.1,1247.5,1995.48,1024.3
2014-06-09,655.619995,2340867,3570.463100351294,0.1,1253.5,1990.04,1022.6
2014-06-10,642.950012,2491455,3875.0368667852204,0.1,1259.5,2011.8,1017.4
2014-06-11,597.130005,2928622,4904.496467230783,0.1,1262.0,2014.67,1016.5
2014-06-12,610.349976,4612164,7556.589139605373,0.1,1265.75,2011.65,1016.5
2014-06-13,583.419983,2985483,5117.210734963804,0.1,1273.0,1990.85,1017.5
2014-06-14,582.289978,2272289,3902.332318692251,0.1,1273.0,1990.85,1017.5
2014-06-15,599.080017,2403694,4012.3087597495346,0.1,1273.0,1990.85,1017.5
2014-06-16,605.090027,1820590,3008.791946260255,0.1,1276.25,1993.59,1018.0
2014-06-17,606.210022,2037434,3360.9375069025173,0.1,1267.5,2001.55,1019.5
2014-06-18,600.169983,3433287,5720.524346849916,0.1,1269.75,1989.49,1022.1
2014-06-19,590.75,1312852,2222.3478628861617,0.1,1293.0,1992.03,1023.1
2014-06-20,597.039978,1373722,2300.88779750022,0.1,1312.5,1968.07,1018.3
2014-06-21,603.619995,1240859,2055.6956533555517,0.1,1312.5,1968.07,1018.3
2014-06-22,591.169983,1594834,2697.7587595140126,0.1,1312.5,1968.07,1018.3
2014-06-23,588.77002,1840620,3126.2121668491204,0.1,1313.5,1974.92,1019.6
2014-06-24,568.450012,1797681,3162.4258282186474,0.1,1318.5,1994.35,1018.4
2014-06-25,582.700012,2401035,4120.5336374697035,0.1,1316.75,1981.77,1018.0
2014-06-26,602.22998,2015064,3346.00412951876,0.1,1311.75,1995.05,1020.6
2014-06-27,597.5599980000001,1778752,2976.6918902760954,0.1,1317.5,1988.51,1017.0
2014-06-28,601.0599980000001,1736172,2888.5169629937673,0.1,1317.5,1988.51,1017.0
2014-06-29,635.1400150000001,2394861,3770.6032424992145,0.1,1317.5,1988.51,1017.0
2014-06-30,643.1900019999999,2675353,4159.506509244527,0.1,1315.0,2002.21,1014.4
2014-07-01,645.719971,3099761,4800.472556547272,0.09,1327.5,1999.0,1012.1
2014-07-02,638.030029,2580980,4045.232798909532,0.09,1326.5,2015.28,1011.8
2014-07-03,623.960022,2291612,3672.6904275928114,0.09,1317.5,2010.97,1009.8
2014-07-04,622.960022,2034965,3266.606087284362,0.09,1319.25,2009.66,1009.6
2014-07-05,626.650024,1698242,2710.0326098447576,0.09,1319.25,2009.66,1009.6
2014-07-06,613.599976,1590944,2592.8032304877406,0.09,1319.25,2009.66,1009.6
2014-07-07,615.320007,2004899,3258.302959747577,0.09,1313.0,2005.12,1008.9
2014-07-08,623.0,1920482,3082.6356340288926,0.09,1323.0,2006.66,1009.9
2014-07-09,618.3900150000001,2253171,3643.6083140831433,0.09,1322.75,2000.5,1011.2
2014-07-10,632.900024,1969199,3111.3903070416063,0.09,1340.25,2002.84,1012.2
2014-07-11,635.900024,2179286,3427.089035618593,0.09,1335.0,1988.74,1011.9
2014-07-12,628.030029,1082830,1724.1691479691967,0.09,1335.0,1988.74,1011.9
2014-07-13,618.320007,1601572,2590.199220255863,0.09,1335.0,1988.74,1011.9
2014-07-14,619.599976,2310446,3728.931713192965,0.09,1306.0,1993.88,1018.0
2014-07-15,614.799988,1873008,3046.5322650591856,0.09,1310.0,2012.72,1018.5
2014-07-16,626.580017,1833775,2926.641371009443,0.09,1301.0,2013.48,1023.7
2014-07-17,627.469971,2109225,3361.475604383943,0.09,1302.5,2020.9,1032.7
2014-07-18,627.039978,2505181,3995.2492470902707,0.09,1307.25,2019.42,1029.6
2014-07-19,620.97998,1442853,2323.5096886698348,0.09,1307.25,2019.42,1029.6
2014-07-20,625.130005,1596614,2554.0511369311093,0.09,1307.25,2019.42,1029.6
2014-07-21,622.530029,2068876,3323.3352667715244,0.09,1311.5,2018.5,1031.9
2014-07-22,621.6900019999999,1372935,2208.391635032278,0.09,1310.25,2028.93,1027.5
2014-07-23,601.869995,2896094,4811.826514129517,0.09,1308.0,2028.32,1024.6
2014-07-24,600.5,3592179,5981.980016652789,0.09,1292.75,2026.62,1022.8
2014-07-25,596.0,2095634,3516.1644295302012,0.09,1294.75,2033.85,1028.0
2014-07-26,595.030029,2118021,3559.5195146025144,0.09,1294.75,2033.85,1028.0
2014-07-27,587.929993,1391966,2367.5709975218087,0.09,1294.75,2033.85,1028.0
2014-07-28,585.77002,3962906,6765.2933142600905,0.09,1304.5,2048.81,1029.4
2014-07-29,564.6400150000001,2397473,4246.0203604237995,0.09,1299.25,2061.97,1025.2
2014-07-30,589.52002,2057947,3490.885686969545,0.09,1294.5,2082.61,1024.7
