date,ex_rate
2015-04-24,1083.2
2015-04-25,1083.2
2015-04-26,1083.2
2015-04-27,1079.0
2015-04-28,1074.5
2015-04-29,1070.9
2015-04-30,1068.1
2015-05-01,1068.1
2015-05-02,1068.1
2015-05-03,1068.1
2015-05-04,1069.5
2015-05-05,1069.5
2015-05-06,1080.5
2015-05-07,1081.0
2015-05-08,1086.6
2015-05-09,1086.6
2015-05-10,1086.6
2015-05-11,1091.3
2015-05-12,1089.9
2015-05-13,1096.2
2015-05-14,1094.9
2015-05-15,1093.6
2015-05-16,1093.6
2015-05-17,1093.6
2015-05-18,1089.2
2015-05-19,1085.5
2015-05-20,1090.9
2015-05-21,1095.2
2015-05-22,1094.4
2015-05-23,1094.4
2015-05-24,1094.4
2015-05-25,1094.4
2015-05-26,1090.8
2015-05-27,1098.4
2015-05-28,1107.0
2015-05-29,1108.0
2015-05-30,1108.0
2015-05-31,1108.0
2015-06-01,1107.6
2015-06-02,1111.6
2015-06-03,1114.5
2015-06-04,1106.0
2015-06-05,1109.9
2015-06-06,1109.9
2015-06-07,1109.9
2015-06-08,1112.1
2015-06-09,1121.5
2015-06-10,1119.3
2015-06-11,1117.3
2015-06-12,1110.4
2015-06-13,1110.4
2015-06-14,1110.4
2015-06-15,1111.9
2015-06-16,1116.2
2015-06-17,1117.3
2015-06-18,1117.6
2015-06-19,1109.9
2015-06-20,1109.9
2015-06-21,1109.9
2015-06-22,1104.0
2015-06-23,1099.9
2015-06-24,1104.1
2015-06-25,1108.4
2015-06-26,1109.6
2015-06-27,1109.6
2015-06-28,1109.6
2015-06-29,1115.1
2015-06-30,1124.1
2015-07-01,1118.3
2015-07-02,1118.5
2015-07-03,1123.2
2015-07-04,1123.2
2015-07-05,1123.2
2015-07-06,1120.1
2015-07-07,1126.3
2015-07-08,1129.6
2015-07-09,1135.7
2015-07-10,1136.2
2015-07-11,1136.2
2015-07-12,1136.2
2015-07-13,1130.0
2015-07-14,1131.5
2015-07-15,1139.4
2015-07-16,1141.5
2015-07-17,1148.4
2015-07-18,1148.4
2015-07-19,1148.4
2015-07-20,1146.3
2015-07-21,1151.9
2015-07-22,1158.4
2015-07-23,1152.6
2015-07-24,1162.3
2015-07-25,1162.3
2015-07-26,1162.3
2015-07-27,1164.6
2015-07-28,1168.9
2015-07-29,1166.2
2015-07-30,1157.9
2015-07-31,1166.3
2015-08-01,1166.3
2015-08-02,1166.3
2015-08-03,1169.4
2015-08-04,1165.2
2015-08-05,1169.3
2015-08-06,1172.1
2015-08-07,1170.2
2015-08-08,1170.2
2015-08-09,1170.2
2015-08-10,1164.3
2015-08-11,1165.3
2015-08-12,1170.4
2015-08-13,1190.3
2015-08-14,1190.3
2015-08-15,1190.3
2015-08-16,1190.3
2015-08-17,1174.2
2015-08-18,1182.2
2015-08-19,1184.7
2015-08-20,1185.1
2015-08-21,1185.1
2015-08-22,1185.1
2015-08-23,1185.1
2015-08-24,1192.0
2015-08-25,1198.1
2015-08-26,1194.6
2015-08-27,1188.9
2015-08-28,1184.3
2015-08-29,1184.3
2015-08-30,1184.3
2015-08-31,1176.3
2015-09-01,1183.0
2015-09-02,1175.6
2015-09-03,1178.0
2015-09-04,1187.6
2015-09-05,1187.6
2015-09-06,1187.6
2015-09-07,1191.0
2015-09-08,1202.0
2015-09-09,1203.1
2015-09-10,1192.0
2015-09-11,1195.8
2015-09-12,1195.8
2015-09-13,1195.8
2015-09-14,1183.8
2015-09-15,1181.0
2015-09-16,1182.4
2015-09-17,1179.4
2015-09-18,1169.7
2015-09-19,1169.7
2015-09-20,1169.7
2015-09-21,1166.7
2015-09-22,1173.0
2015-09-23,1177.2
2015-09-24,1187.5
2015-09-25,1191.8
2015-09-26,1191.8
2015-09-27,1191.8
2015-09-28,1191.8
2015-09-29,1191.8
2015-09-30,1194.5
2015-10-01,1190.4
2015-10-02,1179.0
2015-10-03,1179.0
2015-10-04,1179.0
2015-10-05,1180.5
2015-10-06,1172.1
2015-10-07,1164.8
2015-10-08,1165.2
2015-10-09,1165.2
2015-10-10,1165.2
2015-10-11,1165.2
2015-10-12,1159.4
2015-10-13,1147.4
2015-10-14,1147.5
2015-10-15,1150.1
2015-10-16,1133.7
2015-10-17,1133.7
2015-10-18,1133.7
2015-10-19,1128.9
2015-10-20,1125.3
2015-10-21,1130.1
2015-10-22,1131.3
2015-10-23,1138.2
2015-10-24,1138.2
2015-10-26,1127.4
2015-10-27,1134.1
2015-10-28,1131.2
2015-10-29,1132.9
2015-10-30,1142.3
2015-10-31,1142.3
2015-11-01,1142.3
2015-11-02,1138.6
2015-11-03,1140.1
2015-11-04,1133.4
2015-11-05,1129.5
2015-11-06,1137.1
2015-11-07,1137.1
2015-11-08,1137.1
2015-11-09,1138.6
2015-11-10,1154.1
2015-11-11,1158.2
2015-11-12,1154.8
2015-11-13,1154.5
2015-11-14,1154.5
2015-11-15,1154.5
2015-11-16,1161.3
2015-11-17,1172.7
2015-11-18,1169.2
2015-11-19,1173.4
2015-11-20,1164.2
2015-11-21,1164.2
2015-11-22,1164.2
2015-11-23,1156.9
2015-11-24,1157.9
2015-11-25,1155.6
2015-11-26,1145.1
2015-11-27,1145.7
2015-11-28,1145.7
2015-11-29,1145.7
2015-11-30,1150.4
2015-12-01,1157.7
2015-12-02,1158.1
2015-12-03,1159.3
2015-12-04,1167.4
2015-12-05,1167.4
2015-12-06,1167.4
2015-12-07,1156.8
2015-12-08,1166.4
2015-12-09,1176.0
2015-12-10,1178.2
2015-12-11,1177.5
2015-12-12,1177.5
2015-12-13,1177.5
2015-12-14,1179.7
2015-12-15,1186.1
2015-12-16,1182.9
2015-12-17,1178.2
2015-12-18,1178.9
2015-12-19,1178.9
2015-12-20,1178.9
2015-12-21,1184.3
2015-12-22,1178.2
2015-12-23,1176.1
2015-12-24,1171.7
2015-12-25,1171.7
2015-12-26,1171.7
2015-12-27,1171.7
2015-12-28,1171.0
2015-12-29,1165.0
2015-12-30,1167.7
2015-12-31,1172.0
2016-01-01,1172.0
2016-01-02,1172.0
2016-01-03,1172.0
2016-01-04,1172.0
2016-01-05,1184.3
2016-01-06,1187.7
2016-01-07,1193.9
2016-01-08,1199.7
2016-01-09,1199.7
2016-01-10,1199.7
2016-01-11,1196.2
2016-01-12,1208.6
2016-01-13,1208.5
2016-01-14,1206.4
2016-01-15,1212.7
2016-01-16,1212.7
2016-01-17,1212.7
2016-01-18,1211.0
2016-01-19,1212.5
2016-01-20,1209.9
2016-01-21,1211.6
2016-01-22,1209.9
2016-01-23,1209.9
2016-01-24,1209.9
2016-01-25,1203.2
2016-01-26,1194.4
2016-01-27,1201.4
2016-01-28,1201.0
2016-01-29,1208.4
2016-01-30,1208.4
2016-01-31,1208.4
2016-02-01,1206.2
2016-02-02,1204.5
2016-02-03,1203.1
2016-02-04,1216.7
2016-02-05,1202.7
2016-02-06,1202.7
2016-02-07,1202.7
2016-02-08,1202.7
2016-02-09,1202.7
2016-02-10,1202.7
2016-02-11,1195.1
2016-02-12,1197.0
2016-02-13,1197.0
2016-02-14,1197.0
2016-02-15,1206.5
2016-02-16,1209.9
2016-02-17,1216.6
2016-02-18,1224.8
2016-02-19,1225.7
2016-02-20,1225.7
2016-02-21,1225.7
2016-02-22,1233.9
2016-02-23,1233.2
2016-02-24,1230.1
2016-02-25,1234.8
2016-02-26,1236.1
2016-02-27,1236.1
2016-02-28,1236.1
2016-02-29,1235.4
2016-03-01,1235.4
2016-03-02,1240.9
2016-03-03,1232.7
2016-03-04,1218.9
2016-03-05,1218.9
2016-03-06,1218.9
2016-03-07,1208.5
